actor_id,actor_name,category,count (film),last_update
24,CAMERON STREEP,"6, 8, 9, 1, 9, 6, 5, 1, 6, 5, 15, 11, 5, 16, 15, 3, 7, 8, 11, 5, 10, 8, 8, 7",24,2006-02-15
25,KEVIN BLOOM,"1, 12, 14, 7, 7, 8, 13, 2, 9, 5, 12, 15, 13, 2, 2, 15, 3, 1, 3, 5, 16",21,2006-02-15
26,RIP CRAWFORD,"11, 1, 11, 13, 13, 16, 8, 7, 9, 7, 2, 1, 1, 13, 8, 14, 3, 5, 6, 2, 13, 2, 8, 3, 8, 1, 7, 15, 8, 9, 11, 11, 5",33,2006-02-15
27,JULIA MCQUEEN,"1, 11, 6, 6, 7, 8, 11, 16, 8, 12, 11, 12, 12, 9, 15, 12, 1, 11, 14, 8, 8, 8, 7, 2, 11, 11, 3, 2, 3, 11, 14, 2, 6",33,2006-02-15
28,WOODY HOFFMAN,"4, 8, 6, 12, 13, 7, 2, 15, 1, 4, 5, 10, 15, 13, 1, 10, 15, 14, 4, 8, 2, 7, 1, 2, 7, 10, 12, 9, 2, 6, 13",31,2006-02-15
29,ALEC WAYNE,"15, 7, 1, 3, 4, 12, 7, 13, 8, 7, 14, 9, 5, 16, 13, 5, 14, 12, 4, 15, 15, 3, 13, 10, 14, 6, 4, 3, 7",29,2006-02-15
30,SANDRA PECK,"6, 8, 7, 14, 13, 16, 15, 8, 16, 1, 11, 1, 13, 4, 9, 1, 12, 1, 6",19,2006-02-15
31,SISSY SOBIESKI,"16, 7, 13, 6, 5, 16, 5, 7, 9, 9, 7, 14, 8, 7, 1, 1, 2, 5",18,2006-02-15
32,TIM HACKMAN,"11, 16, 16, 9, 13, 15, 6, 6, 8, 14, 7, 6, 9, 4, 9, 7, 15, 2, 15, 9, 4, 3, 12",23,2006-02-15
33,MILLA PECK,"1, 9, 15, 2, 3, 1, 13, 10, 7, 2, 1, 7, 15, 4, 6, 3, 11, 5, 7, 16, 11, 11, 14, 3",24,2006-02-15
34,AUDREY OLIVIER,"8, 13, 5, 16, 7, 5, 12, 6, 15, 6, 10, 9, 5, 4, 15, 13, 15, 6, 1, 15, 13, 3, 9, 4, 9",25,2006-02-15
35,JUDY DEAN,"15, 11, 9, 9, 15, 15, 6, 15, 2, 1, 1, 9, 1, 14, 16",15,2006-02-15
36,BURT DUKAKIS,"9, 14, 11, 8, 2, 13, 9, 10, 10, 14, 5, 12, 6, 15, 6, 4, 9, 8, 2, 13, 11, 14, 8, 11, 4, 15, 1, 16, 10",29,2006-02-15
37,VAL BOLGER,"15, 12, 1, 2, 5, 11, 7, 7, 1, 15, 11, 5, 9, 12, 3, 10, 5, 3, 5, 14, 3, 7, 4, 4, 1, 16, 14, 10, 3, 9, 6, 2, 6, 16, 12",35,2006-02-15
38,TOM MCKELLEN,"11, 1, 2, 15, 2, 2, 6, 5, 14, 9, 13, 3, 8, 1, 12, 3, 2, 7, 15, 9, 1, 7, 14, 3, 11",25,2006-02-15
39,GOLDIE BRODY,"8, 14, 3, 14, 11, 9, 15, 13, 11, 4, 9, 2, 8, 14, 6, 15, 15, 16, 7, 9, 2, 8, 2, 8, 7, 4, 14, 13",28,2006-02-15
40,JOHNNY CAGE,"6, 9, 11, 7, 9, 13, 14, 2, 16, 2, 14, 14, 7, 15, 6, 11, 7, 14, 11, 4, 10, 5, 11, 10, 16, 1, 2, 13, 5",29,2006-02-15
41,JODIE DEGENERES,"11, 4, 14, 12, 9, 6, 5, 1, 14, 1, 7, 4, 1, 13, 6, 15, 6, 10, 5, 9, 15, 12, 8, 15, 16, 11, 16, 14, 7",29,2006-02-15
42,TOM MIRANDA,"11, 8, 8, 13, 12, 9, 5, 3, 11, 11, 10, 5, 16, 11, 12, 6, 6, 9, 14, 10, 2, 8, 11, 15, 7, 11, 5",27,2006-02-15
43,KIRK JOVOVICH,"1, 15, 1, 2, 1, 8, 12, 4, 2, 5, 2, 3, 8, 8, 5, 12, 9, 15, 9, 3, 8, 8, 7, 3, 15, 7",26,2006-02-15
44,NICK STALLONE,"6, 16, 16, 8, 13, 15, 5, 8, 15, 15, 16, 13, 10, 15, 5, 10, 13, 16, 1, 11, 15, 16, 3, 3, 15, 13, 7, 6, 1, 11",30,2006-02-15
45,REESE KILMER,"2, 11, 3, 1, 10, 6, 15, 9, 6, 2, 6, 9, 15, 9, 4, 5, 15, 10, 4, 5, 14, 12, 8, 12, 8, 4, 9, 2, 13, 6, 8, 5",32,2006-02-15
46,PARKER GOLDBERG,"1, 12, 12, 15, 14, 14, 6, 13, 2, 15, 5, 13, 12, 9, 4, 7, 3, 2, 8, 11, 15, 3, 12, 1",24,2006-02-15
47,JULIA BARRYMORE,"13, 2, 8, 1, 7, 16, 8, 11, 5, 4, 10, 6, 6, 6, 11, 9, 15, 16, 7, 13, 7, 14, 7, 6",24,2006-02-15
48,FRANCES DAY-LEWIS,"5, 6, 2, 6, 6, 10, 2, 13, 1, 6, 14, 8, 8, 2, 8, 11, 9, 14, 15, 15, 16, 9, 6, 9, 11, 6",26,2006-02-15
49,ANNE CRONYN,"8, 14, 14, 9, 1, 7, 8, 8, 6, 6, 3, 2, 4, 11, 1, 13, 1, 9, 7, 7, 11, 4, 15, 16, 1, 16, 12",27,2006-02-15
50,NATALIE HOPKINS,"1, 5, 2, 6, 6, 16, 1, 10, 1, 15, 7, 1, 15, 8, 8, 7, 14, 6, 10, 8, 13, 16, 5, 1, 1, 8, 8, 10, 7, 3, 14, 9",32,2006-02-15
51,GARY PHOENIX,"8, 8, 16, 9, 2, 14, 1, 10, 15, 2, 13, 4, 6, 15, 15, 6, 11, 13, 13, 4, 4, 15, 13, 11, 3",25,2006-02-15
52,CARMEN HUNT,"12, 11, 13, 13, 14, 4, 4, 9, 5, 6, 3, 15, 3, 15, 9, 10, 1, 13, 9, 14, 6, 16, 12, 1, 4, 3",26,2006-02-15
53,MENA TEMPLE,"6, 11, 12, 6, 13, 11, 1, 16, 15, 2, 14, 16, 4, 16, 10, 13, 13, 13, 10, 16, 3, 6, 15, 1, 4, 8, 13, 9, 9, 12",30,2006-02-15
54,PENELOPE PINKETT,"16, 6, 6, 4, 14, 1, 11, 8, 2, 2, 5, 10, 11, 12, 2, 11, 5, 15, 10, 5, 10, 13, 4, 16, 11",25,2006-02-15
55,FAY KILMER,"11, 15, 16, 15, 16, 13, 13, 7, 3, 9, 8, 15, 14, 7, 6, 7, 4, 7, 14, 2",20,2006-02-15
56,DAN HARRIS,"8, 16, 13, 10, 14, 16, 3, 15, 1, 9, 6, 12, 15, 7, 11, 7, 13, 9, 10, 8, 15, 15, 4, 16, 2, 14, 12, 11",28,2006-02-15
57,JUDE CRUISE,"9, 11, 6, 14, 11, 2, 13, 14, 9, 8, 11, 13, 5, 13, 6, 8, 10, 5, 12, 9, 14, 13, 1, 14, 1, 11, 12, 3, 4, 3",30,2006-02-15
58,CHRISTIAN AKROYD,"3, 3, 5, 9, 15, 8, 6, 14, 5, 2, 15, 10, 10, 1, 12, 9, 12, 2, 1, 13, 3, 4, 14, 13, 13, 5, 6, 9, 3, 11, 11, 5",32,2006-02-15
59,DUSTIN TAUTOU,"8, 10, 12, 6, 16, 2, 6, 1, 8, 1, 2, 6, 7, 14, 2, 6, 9, 4, 11, 6, 11, 7, 3, 4, 6, 8, 9",27,2006-02-15
60,HENRY BERRY,"8, 6, 12, 6, 14, 7, 7, 11, 14, 2, 1, 8, 4, 16, 11, 9, 3, 13, 9, 8, 13, 11, 11, 8, 5, 7, 16, 16, 2, 11, 10, 3, 6, 9, 2",35,2006-02-15
61,CHRISTIAN NEESON,"14, 15, 16, 10, 15, 14, 3, 2, 10, 16, 15, 11, 4, 7, 8, 16, 2, 2, 12, 7, 12, 8, 14, 8, 11",25,2006-02-15
62,JAYNE NEESON,"9, 15, 12, 9, 6, 6, 9, 10, 8, 7, 6, 9, 1, 5, 6, 12, 10, 5, 8, 4, 6, 13, 3, 1, 15, 4, 16, 16, 11",29,2006-02-15
63,CAMERON WRAY,"14, 2, 16, 2, 7, 6, 4, 12, 3, 15, 4, 15, 10, 15, 14, 5, 7, 6, 16",19,2006-02-15
64,RAY JOHANSSON,"6, 15, 4, 16, 16, 3, 15, 3, 15, 16, 5, 8, 13, 4, 4, 11, 16, 8, 2, 14, 10, 6, 10, 4, 8, 3, 14, 12, 6, 12",30,2006-02-15
65,ANGELA HUDSON,"14, 10, 1, 10, 10, 16, 12, 5, 13, 14, 16, 1, 12, 4, 11, 8, 3, 16, 12, 15, 2, 10, 6, 15, 2, 11, 7, 4, 14, 3, 3, 5, 4, 11",34,2006-02-15
66,MARY TANDY,"14, 7, 9, 13, 1, 7, 13, 2, 16, 14, 15, 9, 3, 16, 3, 3, 15, 1, 7, 4, 9, 1, 8, 5, 11, 1, 3, 4, 9, 6, 3",31,2006-02-15
67,JESSICA BAILEY,"11, 16, 1, 13, 5, 12, 15, 10, 12, 16, 4, 6, 16, 4, 9, 4, 7, 10, 11, 1, 6, 14, 16",23,2006-02-15
68,RIP WINSLET,"11, 13, 12, 12, 1, 8, 10, 12, 14, 8, 2, 10, 16, 4, 12, 9, 16, 7, 9, 6, 9, 10, 11, 15, 7, 10, 6, 14, 10, 9",30,2006-02-15
69,KENNETH PALTROW,"9, 16, 1, 5, 10, 1, 2, 10, 14, 7, 9, 6, 5, 15, 13, 11, 3, 6, 3, 12, 16",21,2006-02-15
70,MICHELLE MCCONAUGHEY,"8, 8, 11, 5, 10, 4, 9, 3, 3, 9, 15, 6, 7, 9, 15, 10, 4, 1, 6, 11, 1, 2, 1",23,2006-02-15
71,ADAM GRANT,"14, 9, 16, 5, 8, 10, 5, 9, 3, 15, 10, 1, 5, 15, 3, 4, 3, 10",18,2006-02-15
72,SEAN WILLIAMS,"11, 13, 15, 4, 16, 14, 2, 10, 16, 3, 8, 16, 9, 12, 9, 11, 12, 2, 6, 15, 11, 2, 5, 10, 1, 7",26,2006-02-15
73,GARY PENN,"2, 13, 12, 13, 9, 2, 11, 15, 14, 7, 9, 4, 13, 12, 9, 6, 7, 15, 1, 1, 7, 1, 12, 8, 4, 11",26,2006-02-15
74,MILLA KEITEL,"5, 14, 10, 9, 9, 14, 15, 13, 11, 4, 15, 4, 16, 8, 3, 14, 4, 5, 13, 10, 8, 11, 6, 15, 16, 16, 15, 10",28,2006-02-15
75,BURT POSEY,"12, 11, 7, 9, 11, 11, 16, 15, 13, 4, 15, 13, 8, 10, 2, 3, 1, 16, 15, 4, 15, 8, 11, 13",24,2006-02-15
76,ANGELINA ASTAIRE,"4, 3, 3, 13, 11, 15, 2, 14, 13, 8, 5, 2, 15, 8, 5, 5, 15, 16, 16, 6, 7, 13, 5, 10, 1, 4, 8, 11, 14, 13, 7",31,2006-02-15
77,CARY MCCONAUGHEY,"11, 13, 6, 14, 2, 14, 16, 14, 2, 6, 3, 8, 8, 13, 9, 15, 13, 4, 11, 5, 6, 2, 7, 3",24,2006-02-15
78,GROUCHO SINATRA,"12, 2, 15, 6, 5, 11, 10, 6, 8, 6, 3, 14, 1, 1, 6, 15, 6, 9, 9, 10, 12, 16, 3, 2, 2, 1",26,2006-02-15
79,MAE HOFFMAN,"13, 7, 6, 10, 1, 7, 5, 8, 13, 8, 16, 14, 8, 2, 7, 9, 15, 8, 10, 8, 13, 8, 9, 6, 6, 10, 3, 2",28,2006-02-15
80,RALPH CRUZ,"14, 2, 3, 8, 9, 1, 15, 8, 3, 4, 16, 3, 10, 13, 11, 3, 15, 6, 5, 6, 3, 7, 6, 10, 5, 6, 10, 7",28,2006-02-15
81,SCARLETT DAMON,"11, 9, 3, 2, 5, 7, 1, 10, 6, 10, 15, 13, 2, 3, 5, 15, 12, 15, 8, 13, 3, 10, 11, 9, 2, 4, 1, 5, 15, 7, 2, 8, 15, 3, 7, 7",36,2006-02-15
82,WOODY JOLIE,"12, 7, 9, 7, 5, 5, 5, 9, 10, 10, 3, 15, 3, 4, 6, 15, 11, 13, 13, 13, 16, 1, 1, 14, 11, 12, 14, 1, 13, 5, 14",31,2006-02-15
83,BEN WILLIS,"14, 9, 6, 3, 15, 2, 15, 14, 10, 5, 4, 15, 2, 15, 10, 16, 13, 14, 6, 15, 5, 2, 15, 14, 5, 13, 15, 15, 15, 16, 3, 3, 5",33,2006-02-15
84,JAMES PITT,"1, 14, 10, 8, 3, 10, 9, 14, 5, 5, 9, 9, 8, 3, 5, 12, 9, 1, 6, 6, 10, 2, 15, 15, 15, 15, 11, 4, 2, 8, 6",31,2006-02-15
85,MINNIE ZELLWEGER,"11, 4, 6, 6, 11, 9, 13, 9, 14, 4, 9, 15, 9, 15, 2, 11, 5, 5, 16, 13, 10, 7, 15, 14, 3, 6, 1, 15, 4, 9, 6",31,2006-02-15
86,GREG CHAPLIN,"14, 13, 4, 13, 4, 1, 10, 13, 8, 4, 4, 9, 15, 14, 4, 9, 15, 12, 12, 13, 4, 5, 16, 14, 5, 7, 9",27,2006-02-15
87,SPENCER PECK,"3, 3, 12, 6, 9, 1, 1, 14, 9, 15, 15, 15, 10, 8, 7, 12, 12, 11, 11, 6, 9",21,2006-02-15
88,KENNETH PESCI,"11, 12, 16, 9, 9, 2, 14, 3, 14, 14, 15, 1, 16, 12, 14, 11, 9, 9, 15, 1",20,2006-02-15
89,CHARLIZE DENCH,"9, 16, 10, 1, 5, 15, 1, 15, 4, 10, 16, 10, 5, 15, 7, 15, 5, 1, 2, 1, 3, 3, 4, 10",24,2006-02-15
90,SEAN GUINESS,"11, 9, 9, 15, 1, 8, 1, 2, 12, 14, 12, 5, 8, 10, 2, 8, 16, 14, 5, 1, 1, 4, 4, 15, 7, 14, 1, 6, 5, 16, 2, 2, 6",33,2006-02-15
91,CHRISTOPHER BERRY,"11, 13, 3, 15, 16, 4, 5, 9, 10, 4, 9, 3, 1, 3, 10, 8, 2, 2, 10, 1",20,2006-02-15
92,KIRSTEN AKROYD,"13, 8, 16, 9, 16, 14, 9, 1, 14, 10, 13, 5, 15, 2, 3, 4, 16, 9, 3, 3, 2, 5, 7, 7, 13, 10, 6, 7, 1, 1, 1, 3, 9, 1",34,2006-02-15
93,ELLEN PRESLEY,"8, 15, 3, 3, 2, 16, 6, 4, 15, 7, 3, 8, 2, 15, 5, 10, 4, 3, 15, 10, 11, 4, 11, 2, 1",25,2006-02-15
94,KENNETH TORN,"11, 4, 12, 11, 14, 2, 6, 4, 13, 11, 13, 15, 9, 3, 2, 8, 6, 7, 11, 4, 15, 7, 9, 12, 4, 13, 6, 6, 8, 7, 6, 4, 16",33,2006-02-15
95,DARYL WAHLBERG,"13, 11, 9, 9, 11, 12, 1, 9, 2, 16, 11, 14, 1, 9, 1, 15, 3, 9, 8, 5, 10, 13, 15, 6, 2, 1, 15, 4, 6, 16, 7",31,2006-02-15
96,GENE WILLIS,"11, 2, 6, 12, 6, 3, 2, 7, 12, 13, 2, 9, 9, 14, 13, 9, 8, 8, 13, 4, 6, 1, 12",23,2006-02-15
97,MEG HAWKE,"7, 14, 5, 15, 15, 14, 16, 8, 4, 3, 8, 15, 6, 16, 3, 13, 9, 16, 7, 3, 6, 16, 4, 14, 13, 9, 4",27,2006-02-15
98,CHRIS BRIDGES,"3, 6, 14, 16, 7, 15, 8, 1, 1, 4, 9, 8, 13, 9, 8, 12, 4, 6, 9, 5, 15, 8, 8, 14, 3, 14, 11",27,2006-02-15
99,JIM MOSTEL,"5, 15, 16, 1, 15, 2, 10, 9, 11, 13, 4, 12, 14, 11, 7, 14, 6, 12, 5, 9, 12, 15, 10, 14, 5, 1",26,2006-02-15
100,SPENCER DEPP,"12, 2, 1, 12, 9, 16, 10, 16, 14, 12, 13, 15, 4, 13, 1, 16, 12, 11, 10, 7, 14, 7, 1, 6",24,2006-02-15
